episode,steps,reward,coins,invalid,self_kill,eps
1,400,27.682,32,0,0,1.0
2,400,20.435,30,0,0,1.0
3,400,12.166,19,0,0,0.999
4,400,27.644,33,0,0,0.999
5,400,13.461,21,0,0,0.998
6,400,14.202,20,0,0,0.998
7,400,14.718,27,0,0,0.997
8,400,20.865,27,0,0,0.997
9,400,12.449,19,0,0,0.996
10,400,26.288,28,0,0,0.996
11,400,13.082,19,0,0,0.995
12,400,12.867,23,0,0,0.995
13,400,13.922,20,0,0,0.994
14,400,25.951,32,0,0,0.994
15,400,16.954,25,0,0,0.993
16,400,23.277,28,0,0,0.993
17,400,15.582,22,0,0,0.992
18,400,20.353,26,0,0,0.992
19,400,6.738,16,0,0,0.991
20,400,22.076,29,0,0,0.991
21,400,19.318,21,0,0,0.991
22,400,25.033,31,0,0,0.99
23,400,8.996,20,0,0,0.99
24,400,10.748,21,0,0,0.989
25,400,13.52,19,0,0,0.989
26,400,14.417,26,0,0,0.988
27,400,23.067,28,0,0,0.988
28,400,11.307,17,0,0,0.987
29,400,21.087,27,0,0,0.987
30,400,15.205,23,0,0,0.986
31,400,5.906,12,0,0,0.986
32,400,10.376,18,0,0,0.985
33,400,22.766,28,0,0,0.985
34,400,12.318,22,0,0,0.984
35,400,24.029,27,0,0,0.984
36,400,20.19,25,0,0,0.983
37,400,22.333,30,0,0,0.983
38,400,10.537,22,0,0,0.982
39,400,19.13,27,0,0,0.982
40,400,18.774,24,0,0,0.981
41,400,24.632,27,0,0,0.981
42,400,31.167,33,0,0,0.981
43,400,24.741,25,0,0,0.98
44,400,9.986,21,0,0,0.98
45,400,17.643,24,0,0,0.979
46,400,21.832,26,0,0,0.979
47,400,12.272,22,0,0,0.978
48,400,13.628,21,0,0,0.978
49,400,29.806,32,0,0,0.977
50,400,18.264,24,0,0,0.977
51,400,14.615,23,0,0,0.976
52,400,22.567,27,0,0,0.976
53,400,9.759,19,0,0,0.975
54,400,16.827,23,0,0,0.975
55,400,28.787,34,0,0,0.974
56,400,13.613,21,0,0,0.974
57,400,17.812,26,0,0,0.973
58,400,23.513,29,0,0,0.973
59,400,17.272,25,0,0,0.972
60,400,17.057,22,0,0,0.972
61,400,19.469,25,0,0,0.972
62,400,24.826,29,0,0,0.971
63,400,26.297,30,0,0,0.971
64,400,17.428,25,0,0,0.97
65,400,20.517,24,0,0,0.97
66,400,18.884,25,0,0,0.969
67,400,19.565,27,0,0,0.969
68,400,17.402,22,0,0,0.968
69,400,16.337,22,0,0,0.968
70,400,17.905,24,0,0,0.967
71,400,22.458,28,0,0,0.967
72,400,13.735,14,0,0,0.966
73,400,24.776,33,0,0,0.966
74,400,20.333,24,0,0,0.965
75,400,7.33,14,0,0,0.965
76,400,19.98,28,0,0,0.964
77,400,13.284,24,0,0,0.964
78,400,3.8,12,0,0,0.963
79,400,25.75,32,0,0,0.963
80,400,29.663,36,0,0,0.962
81,400,15.536,24,0,0,0.962
82,400,16.735,21,0,0,0.962
83,400,21.0,27,0,0,0.961
84,400,17.181,26,0,0,0.961
85,400,38.095,40,0,0,0.96
86,400,15.899,26,0,0,0.96
87,400,21.501,29,0,0,0.959
88,400,19.911,26,0,0,0.959
89,400,21.124,28,0,0,0.958
90,400,26.918,30,0,0,0.958
91,400,24.401,26,0,0,0.957
92,400,27.021,31,0,0,0.957
93,400,24.736,32,0,0,0.956
94,400,17.295,29,0,0,0.956
95,400,11.678,22,0,0,0.955
96,400,21.446,27,0,0,0.955
97,400,24.929,30,0,0,0.954
98,400,26.815,34,0,0,0.954
99,400,21.489,31,0,0,0.953
100,400,21.145,26,0,0,0.953
101,400,20.717,26,0,0,0.953
102,400,18.152,24,0,0,0.952
103,400,31.917,35,0,0,0.952
104,400,24.95,33,0,0,0.951
105,400,27.745,28,0,0,0.951
106,400,26.37,29,0,0,0.95
107,400,17.045,23,0,0,0.95
108,400,27.922,30,0,0,0.949
109,400,17.074,26,0,0,0.949
110,400,8.803,13,0,0,0.948
111,400,24.997,28,0,0,0.948
112,400,17.983,29,0,0,0.947
113,400,17.69,17,0,0,0.947
114,400,21.684,25,0,0,0.946
115,400,10.588,20,0,0,0.946
116,400,25.608,27,0,0,0.945
117,400,16.603,22,0,0,0.945
118,400,22.868,28,0,0,0.944
119,400,16.348,23,0,0,0.944
120,400,11.408,17,0,0,0.943
121,400,16.205,24,0,0,0.943
122,400,22.288,28,0,0,0.943
123,400,35.537,35,0,0,0.942
124,400,26.047,32,0,0,0.942
125,400,24.87,32,0,0,0.941
126,400,23.314,31,0,0,0.941
127,400,16.531,24,0,0,0.94
128,400,20.095,25,0,0,0.94
129,400,15.928,22,0,0,0.939
130,400,23.938,29,0,0,0.939
131,400,11.383,20,0,0,0.938
132,400,8.976,19,0,0,0.938
133,400,11.308,19,0,0,0.937
134,400,18.505,26,0,0,0.937
135,400,17.461,27,0,0,0.936
136,400,24.349,30,0,0,0.936
137,400,22.933,34,0,0,0.935
138,400,15.844,20,0,0,0.935
139,400,10.458,22,0,0,0.934
140,400,15.588,23,0,0,0.934
141,400,21.367,28,0,0,0.933
142,400,12.373,19,0,0,0.933
143,400,17.343,27,0,0,0.933
144,400,28.716,33,0,0,0.932
145,400,17.018,27,0,0,0.932
146,400,28.519,35,0,0,0.931
147,400,38.013,41,0,0,0.931
148,400,18.419,23,0,0,0.93
149,400,15.967,24,0,0,0.93
150,400,30.166,29,0,0,0.929
151,400,36.201,41,0,0,0.929
152,400,27.212,31,0,0,0.928
153,400,20.247,29,0,0,0.928
154,400,21.918,29,0,0,0.927
155,400,16.224,22,0,0,0.927
156,400,32.042,38,0,0,0.926
157,400,21.701,29,0,0,0.926
158,400,16.18,24,0,0,0.925
159,400,28.937,30,0,0,0.925
160,400,26.481,29,0,0,0.924
161,400,17.381,22,0,0,0.924
162,400,30.443,33,0,0,0.924
163,400,21.381,26,0,0,0.923
164,400,12.419,22,0,0,0.923
165,400,26.565,29,0,0,0.922
166,400,21.519,32,0,0,0.922
167,400,26.857,31,0,0,0.921
168,400,30.19,32,0,0,0.921
169,400,22.39,30,0,0,0.92
170,400,26.161,31,0,0,0.92
171,400,22.003,30,0,0,0.919
172,400,16.906,27,0,0,0.919
173,400,21.513,28,0,0,0.918
174,400,27.672,28,0,0,0.918
175,400,31.801,34,0,0,0.917
176,400,17.418,22,0,0,0.917
177,400,27.121,29,0,0,0.916
178,400,13.858,23,0,0,0.916
179,400,23.539,26,0,0,0.915
180,400,18.162,29,0,0,0.915
181,400,23.142,31,0,0,0.914
182,400,18.265,28,0,0,0.914
183,400,30.058,33,0,0,0.914
184,400,25.727,31,0,0,0.913
185,400,17.765,24,0,0,0.913
186,400,17.247,21,0,0,0.912
187,400,19.822,24,0,0,0.912
188,400,12.51,21,0,0,0.911
189,400,29.987,32,0,0,0.911
190,400,13.44,22,0,0,0.91
191,400,19.457,25,0,0,0.91
192,400,23.334,30,0,0,0.909
193,400,22.921,30,0,0,0.909
194,400,23.228,26,0,0,0.908
195,400,21.451,28,0,0,0.908
196,400,26.719,34,0,0,0.907
197,400,18.543,27,0,0,0.907
198,400,25.361,34,0,0,0.906
199,400,27.761,34,0,0,0.906
200,400,25.986,33,0,0,0.905
201,400,16.112,24,0,0,0.905
202,400,26.082,32,0,0,0.905
203,400,16.446,19,0,0,0.904
204,400,20.912,33,0,0,0.904
205,400,23.681,27,0,0,0.903
206,400,25.383,30,0,0,0.903
207,400,17.818,27,0,0,0.902
208,400,21.987,26,0,0,0.902
209,400,25.178,32,0,0,0.901
210,400,20.875,28,0,0,0.901
211,400,31.174,36,0,0,0.9
212,400,16.646,26,0,0,0.9
213,400,15.593,18,0,0,0.899
214,400,29.605,28,0,0,0.899
215,400,25.875,26,0,0,0.898
216,400,22.956,26,0,0,0.898
217,400,28.038,29,0,0,0.897
218,400,33.228,36,0,0,0.897
219,400,33.267,32,0,0,0.896
220,400,26.491,31,0,0,0.896
221,400,30.588,33,0,0,0.895
222,400,26.439,34,0,0,0.895
223,400,41.098,41,0,0,0.895
224,400,25.867,30,0,0,0.894
225,400,22.373,33,0,0,0.894
226,400,20.798,22,0,0,0.893
227,400,17.764,23,0,0,0.893
228,400,18.081,23,0,0,0.892
229,400,31.865,36,0,0,0.892
230,400,23.788,30,0,0,0.891
231,400,17.708,23,0,0,0.891
232,400,19.49,29,0,0,0.89
233,400,28.207,29,0,0,0.89
234,400,18.197,23,0,0,0.889
235,400,13.218,17,0,0,0.889
236,400,23.098,29,0,0,0.888
237,400,26.92,31,0,0,0.888
238,400,26.718,34,0,0,0.887
239,400,27.977,33,0,0,0.887
240,400,23.435,25,0,0,0.886
241,400,25.471,30,0,0,0.886
242,400,24.161,24,0,0,0.886
243,400,37.202,39,0,0,0.885
244,400,16.404,21,0,0,0.885
245,400,28.556,35,0,0,0.884
246,400,26.407,30,0,0,0.884
247,400,16.695,21,0,0,0.883
248,400,28.144,32,0,0,0.883
249,400,32.521,34,0,0,0.882
250,400,20.733,26,0,0,0.882
251,400,20.812,23,0,0,0.881
252,400,18.528,21,0,0,0.881
253,400,29.643,31,0,0,0.88
254,400,18.587,21,0,0,0.88
255,400,29.605,31,0,0,0.879
256,400,26.647,32,0,0,0.879
257,400,26.053,27,0,0,0.878
258,400,24.766,30,0,0,0.878
259,400,29.063,28,0,0,0.877
260,400,33.518,34,0,0,0.877
261,400,22.912,29,0,0,0.877
262,400,30.834,36,0,0,0.876
263,400,23.873,28,0,0,0.876
264,400,21.751,29,0,0,0.875
265,400,27.851,31,0,0,0.875
266,400,30.546,34,0,0,0.874
267,400,26.74,30,0,0,0.874
268,400,26.067,24,0,0,0.873
269,400,29.883,26,0,0,0.873
270,400,24.829,24,0,0,0.872
271,400,28.349,32,0,0,0.872
272,400,28.842,32,0,0,0.871
273,400,30.769,34,0,0,0.871
274,400,33.407,30,0,0,0.87
275,400,33.864,34,0,0,0.87
276,400,36.358,38,0,0,0.869
277,400,26.474,33,0,0,0.869
278,400,21.266,25,0,0,0.868
279,400,22.488,23,0,0,0.868
280,400,23.587,30,0,0,0.867
281,400,24.28,26,0,0,0.867
282,400,29.601,29,0,0,0.867
283,400,35.315,38,0,0,0.866
284,400,30.004,35,0,0,0.866
285,400,22.742,26,0,0,0.865
286,400,33.703,35,0,0,0.865
287,400,31.508,36,0,0,0.864
288,400,26.774,31,0,0,0.864
289,400,33.026,35,0,0,0.863
290,400,25.463,30,0,0,0.863
291,400,31.9,35,0,0,0.862
292,400,30.796,33,0,0,0.862
293,400,32.592,37,0,0,0.861
294,400,20.723,24,0,0,0.861
295,400,32.158,35,0,0,0.86
296,400,21.756,24,0,0,0.86
297,400,21.848,24,0,0,0.859
298,400,17.179,22,0,0,0.859
299,400,40.389,43,0,0,0.858
300,400,32.897,32,0,0,0.858
301,400,25.352,31,0,0,0.858
302,400,29.542,27,0,0,0.857
303,400,30.825,33,0,0,0.857
304,400,33.722,36,0,0,0.856
305,400,33.918,35,0,0,0.856
306,400,29.328,32,0,0,0.855
307,400,27.3,30,0,0,0.855
308,400,28.985,33,0,0,0.854
309,400,26.831,27,0,0,0.854
310,400,28.16,35,0,0,0.853
311,400,37.127,38,0,0,0.853
312,400,30.801,35,0,0,0.852
313,400,17.633,31,0,0,0.852
314,400,18.867,21,0,0,0.851
315,400,28.029,27,0,0,0.851
316,400,32.983,36,0,0,0.85
317,400,23.867,27,0,0,0.85
318,400,32.672,38,0,0,0.849
319,400,29.683,34,0,0,0.849
320,400,17.488,22,0,0,0.848
321,400,24.847,24,0,0,0.848
322,400,25.832,27,0,0,0.848
323,400,29.367,29,0,0,0.847
324,400,40.776,39,0,0,0.847
325,400,28.537,33,0,0,0.846
326,400,32.998,31,0,0,0.846
327,400,38.242,36,0,0,0.845
328,400,39.174,40,0,0,0.845
329,400,28.17,33,0,0,0.844
330,400,21.272,26,0,0,0.844
331,400,34.416,35,0,0,0.843
332,400,29.81,33,0,0,0.843
333,400,40.121,42,0,0,0.842
334,400,22.85,23,0,0,0.842
335,400,36.556,35,0,0,0.841
336,400,31.128,33,0,0,0.841
337,400,32.187,33,0,0,0.84
338,400,23.686,34,0,0,0.84
339,400,37.483,37,0,0,0.839
340,400,24.849,32,0,0,0.839
341,400,33.332,34,0,0,0.839
342,400,21.354,26,0,0,0.838
343,400,28.487,32,0,0,0.838
