episode,coins,kills,game_score,steps,epsilon,training_reward,objective_reward,other_event_reward,potential_net,potential_positive,potential_negative,potential_calls,terminal_potential_calls,event_counts,event_rewards
1,1,1,6,400,0.2,24.41749999999998,6.0,24.210000000000026,-5.7924999999999995,72.64875000000004,-78.44125000000001,401,1,"{""BOMB_DROPPED"": 46, ""BOMB_EXPLODED"": 45, ""BOMB_NEXT_TO_CRATE"": 11, ""COIN_COLLECTED"": 1, ""CRATE_DESTROYED"": 17, ""ESCAPED_DANGER"": 48, ""INVALID_ACTION"": 1, ""KILLED_OPPONENT"": 1, ""MOVED_AWAY_FROM_COIN"": 3, ""MOVED_DOWN"": 42, ""MOVED_INTO_DANGER"": 3, ""MOVED_LEFT"": 47, ""MOVED_RIGHT"": 60, ""MOVED_TOWARD_COIN"": 16, ""MOVED_TOWARD_SAFETY"": 53, ""MOVED_UP"": 42, ""OPPONENT_ELIMINATED"": 2, ""SAFE_BOMB_THREATENS_OPPONENT"": 4, ""STAYED_IN_DANGER"": 10, ""SURVIVED_ROUND"": 1, ""USELESS_BOMB"": 31, ""WAITED"": 162}","{""BOMB_DROPPED"": 0.0, ""BOMB_EXPLODED"": 0.0, ""BOMB_NEXT_TO_CRATE"": 0.5499999999999999, ""COIN_COLLECTED"": 1.0, ""CRATE_DESTROYED"": 1.7000000000000004, ""ESCAPED_DANGER"": 14.400000000000013, ""INVALID_ACTION"": -0.1, ""KILLED_OPPONENT"": 5.0, ""MOVED_AWAY_FROM_COIN"": -0.21000000000000002, ""MOVED_DOWN"": 0.0, ""MOVED_INTO_DANGER"": -1.0499999999999998, ""MOVED_LEFT"": 0.0, ""MOVED_RIGHT"": 0.0, ""MOVED_TOWARD_COIN"": 0.9600000000000004, ""MOVED_TOWARD_SAFETY"": 15.900000000000016, ""MOVED_UP"": 0.0, ""OPPONENT_ELIMINATED"": 0.0, ""SAFE_BOMB_THREATENS_OPPONENT"": 0.4, ""STAYED_IN_DANGER"": -2.5, ""SURVIVED_ROUND"": 0.5, ""USELESS_BOMB"": -3.1000000000000014, ""WAITED"": -3.2400000000000024}"
2,1,0,1,400,0.19988666666666668,18.169749999999976,1.0,25.940000000000023,-8.770250000000011,59.39350000000002,-68.16375000000004,401,1,"{""BOMB_DROPPED"": 30, ""BOMB_EXPLODED"": 30, ""BOMB_NEXT_TO_CRATE"": 13, ""COIN_COLLECTED"": 1, ""COIN_FOUND"": 3, ""CRATE_DESTROYED"": 25, ""ESCAPED_DANGER"": 38, ""INVALID_ACTION"": 1, ""MOVED_AWAY_FROM_COIN"": 3, ""MOVED_DOWN"": 58, ""MOVED_INTO_DANGER"": 8, ""MOVED_LEFT"": 68, ""MOVED_RIGHT"": 72, ""MOVED_TOWARD_COIN"": 27, ""MOVED_TOWARD_SAFETY"": 51, ""MOVED_UP"": 70, ""OPPONENT_ELIMINATED"": 2, ""SAFE_BOMB_THREATENS_OPPONENT"": 13, ""STAYED_IN_DANGER"": 7, ""SURVIVED_ROUND"": 1, ""USELESS_BOMB"": 6, ""WAITED"": 101}","{""BOMB_DROPPED"": 0.0, ""BOMB_EXPLODED"": 0.0, ""BOMB_NEXT_TO_CRATE"": 0.65, ""COIN_COLLECTED"": 1.0, ""COIN_FOUND"": 0.15000000000000002, ""CRATE_DESTROYED"": 2.500000000000001, ""ESCAPED_DANGER"": 11.400000000000006, ""INVALID_ACTION"": -0.1, ""MOVED_AWAY_FROM_COIN"": -0.21000000000000002, ""MOVED_DOWN"": 0.0, ""MOVED_INTO_DANGER"": -2.8000000000000003, ""MOVED_LEFT"": 0.0, ""MOVED_RIGHT"": 0.0, ""MOVED_TOWARD_COIN"": 1.620000000000001, ""MOVED_TOWARD_SAFETY"": 15.300000000000015, ""MOVED_UP"": 0.0, ""OPPONENT_ELIMINATED"": 0.0, ""SAFE_BOMB_THREATENS_OPPONENT"": 1.3, ""STAYED_IN_DANGER"": -1.75, ""SURVIVED_ROUND"": 0.5, ""USELESS_BOMB"": -0.6, ""WAITED"": -2.0200000000000014}"
3,0,0,0,400,0.19977333333333336,10.1195,0,17.960000000000008,-7.840500000000012,55.71100000000005,-63.55150000000005,401,1,"{""BOMB_DROPPED"": 23, ""BOMB_EXPLODED"": 22, ""BOMB_NEXT_TO_CRATE"": 10, ""CRATE_DESTROYED"": 23, ""ESCAPED_DANGER"": 37, ""INVALID_ACTION"": 1, ""MOVED_AWAY_FROM_COIN"": 2, ""MOVED_DOWN"": 65, ""MOVED_INTO_DANGER"": 15, ""MOVED_LEFT"": 68, ""MOVED_RIGHT"": 78, ""MOVED_TOWARD_COIN"": 15, ""MOVED_TOWARD_SAFETY"": 35, ""MOVED_UP"": 65, ""OPPONENT_ELIMINATED"": 2, ""SAFE_BOMB_THREATENS_OPPONENT"": 9, ""STAYED_IN_DANGER"": 3, ""SURVIVED_ROUND"": 1, ""USELESS_BOMB"": 5, ""WAITED"": 100}","{""BOMB_DROPPED"": 0.0, ""BOMB_EXPLODED"": 0.0, ""BOMB_NEXT_TO_CRATE"": 0.49999999999999994, ""CRATE_DESTROYED"": 2.3000000000000007, ""ESCAPED_DANGER"": 11.100000000000005, ""INVALID_ACTION"": -0.1, ""MOVED_AWAY_FROM_COIN"": -0.14, ""MOVED_DOWN"": 0.0, ""MOVED_INTO_DANGER"": -5.249999999999999, ""MOVED_LEFT"": 0.0, ""MOVED_RIGHT"": 0.0, ""MOVED_TOWARD_COIN"": 0.9000000000000004, ""MOVED_TOWARD_SAFETY"": 10.500000000000004, ""MOVED_UP"": 0.0, ""OPPONENT_ELIMINATED"": 0.0, ""SAFE_BOMB_THREATENS_OPPONENT"": 0.8999999999999999, ""STAYED_IN_DANGER"": -0.75, ""SURVIVED_ROUND"": 0.5, ""USELESS_BOMB"": -0.5, ""WAITED"": -2.0000000000000013}"
4,1,0,1,400,0.19966,26.101999999999983,1.0,32.99000000000003,-7.8880000000000114,62.6418333333334,-70.52983333333336,401,1,"{""BOMB_DROPPED"": 34, ""BOMB_EXPLODED"": 33, ""BOMB_NEXT_TO_CRATE"": 17, ""COIN_COLLECTED"": 1, ""COIN_FOUND"": 2, ""CRATE_DESTROYED"": 32, ""ESCAPED_DANGER"": 40, ""MOVED_AWAY_FROM_COIN"": 25, ""MOVED_DOWN"": 62, ""MOVED_INTO_DANGER"": 7, ""MOVED_LEFT"": 58, ""MOVED_RIGHT"": 72, ""MOVED_TOWARD_COIN"": 68, ""MOVED_TOWARD_SAFETY"": 62, ""MOVED_UP"": 62, ""OPPONENT_ELIMINATED"": 2, ""SAFE_BOMB_THREATENS_OPPONENT"": 15, ""STAYED_IN_DANGER"": 4, ""SURVIVED_ROUND"": 1, ""USELESS_BOMB"": 4, ""WAITED"": 112}","{""BOMB_DROPPED"": 0.0, ""BOMB_EXPLODED"": 0.0, ""BOMB_NEXT_TO_CRATE"": 0.8500000000000002, ""COIN_COLLECTED"": 1.0, ""COIN_FOUND"": 0.1, ""CRATE_DESTROYED"": 3.2000000000000015, ""ESCAPED_DANGER"": 12.000000000000007, ""MOVED_AWAY_FROM_COIN"": -1.750000000000001, ""MOVED_DOWN"": 0.0, ""MOVED_INTO_DANGER"": -2.45, ""MOVED_LEFT"": 0.0, ""MOVED_RIGHT"": 0.0, ""MOVED_TOWARD_COIN"": 4.080000000000003, ""MOVED_TOWARD_SAFETY"": 18.600000000000023, ""MOVED_UP"": 0.0, ""OPPONENT_ELIMINATED"": 0.0, ""SAFE_BOMB_THREATENS_OPPONENT"": 1.5000000000000002, ""STAYED_IN_DANGER"": -1.0, ""SURVIVED_ROUND"": 0.5, ""USELESS_BOMB"": -0.4, ""WAITED"": -2.2400000000000015}"
5,1,0,1,400,0.19954666666666668,15.896750000000006,1.0,23.360000000000024,-8.463250000000011,63.270999999999994,-71.73425000000003,401,1,"{""BOMB_DROPPED"": 29, ""BOMB_EXPLODED"": 28, ""BOMB_NEXT_TO_CRATE"": 10, ""COIN_COLLECTED"": 1, ""COIN_FOUND"": 1, ""CRATE_DESTROYED"": 20, ""ESCAPED_DANGER"": 42, ""INVALID_ACTION"": 1, ""MOVED_AWAY_FROM_COIN"": 4, ""MOVED_DOWN"": 61, ""MOVED_INTO_DANGER"": 15, ""MOVED_LEFT"": 67, ""MOVED_RIGHT"": 63, ""MOVED_TOWARD_COIN"": 26, ""MOVED_TOWARD_SAFETY"": 53, ""MOVED_UP"": 63, ""OPPONENT_ELIMINATED"": 2, ""SAFE_BOMB_THREATENS_OPPONENT"": 11, ""STAYED_IN_DANGER"": 8, ""SURVIVED_ROUND"": 1, ""USELESS_BOMB"": 9, ""WAITED"": 116}","{""BOMB_DROPPED"": 0.0, ""BOMB_EXPLODED"": 0.0, ""BOMB_NEXT_TO_CRATE"": 0.49999999999999994, ""COIN_COLLECTED"": 1.0, ""COIN_FOUND"": 0.05, ""CRATE_DESTROYED"": 2.0000000000000004, ""ESCAPED_DANGER"": 12.600000000000009, ""INVALID_ACTION"": -0.1, ""MOVED_AWAY_FROM_COIN"": -0.28, ""MOVED_DOWN"": 0.0, ""MOVED_INTO_DANGER"": -5.249999999999999, ""MOVED_LEFT"": 0.0, ""MOVED_RIGHT"": 0.0, ""MOVED_TOWARD_COIN"": 1.560000000000001, ""MOVED_TOWARD_SAFETY"": 15.900000000000016, ""MOVED_UP"": 0.0, ""OPPONENT_ELIMINATED"": 0.0, ""SAFE_BOMB_THREATENS_OPPONENT"": 1.0999999999999999, ""STAYED_IN_DANGER"": -2.0, ""SURVIVED_ROUND"": 0.5, ""USELESS_BOMB"": -0.8999999999999999, ""WAITED"": -2.3200000000000016}"
6,0,0,0,400,0.19943333333333335,13.789749999999964,0,20.860000000000017,-7.070250000000011,62.4395833333335,-69.50983333333325,401,1,"{""BOMB_DROPPED"": 28, ""BOMB_EXPLODED"": 28, ""BOMB_NEXT_TO_CRATE"": 12, ""COIN_FOUND"": 1, ""CRATE_DESTROYED"": 28, ""ESCAPED_DANGER"": 41, ""INVALID_ACTION"": 1, ""MOVED_AWAY_FROM_COIN"": 5, ""MOVED_DOWN"": 51, ""MOVED_INTO_DANGER"": 13, ""MOVED_LEFT"": 46, ""MOVED_RIGHT"": 46, ""MOVED_TOWARD_COIN"": 11, ""MOVED_TOWARD_SAFETY"": 45, ""MOVED_UP"": 63, ""SAFE_BOMB_THREATENS_OPPONENT"": 11, ""STAYED_IN_DANGER"": 7, ""SURVIVED_ROUND"": 1, ""USELESS_BOMB"": 6, ""WAITED"": 165}","{""BOMB_DROPPED"": 0.0, ""BOMB_EXPLODED"": 0.0, ""BOMB_NEXT_TO_CRATE"": 0.6, ""COIN_FOUND"": 0.05, ""CRATE_DESTROYED"": 2.800000000000001, ""ESCAPED_DANGER"": 12.300000000000008, ""INVALID_ACTION"": -0.1, ""MOVED_AWAY_FROM_COIN"": -0.35000000000000003, ""MOVED_DOWN"": 0.0, ""MOVED_INTO_DANGER"": -4.55, ""MOVED_LEFT"": 0.0, ""MOVED_RIGHT"": 0.0, ""MOVED_TOWARD_COIN"": 0.6600000000000001, ""MOVED_TOWARD_SAFETY"": 13.50000000000001, ""MOVED_UP"": 0.0, ""SAFE_BOMB_THREATENS_OPPONENT"": 1.0999999999999999, ""STAYED_IN_DANGER"": -1.75, ""SURVIVED_ROUND"": 0.5, ""USELESS_BOMB"": -0.6, ""WAITED"": -3.3000000000000025}"
7,1,0,1,125,0.19932,6.3785,1.0,7.639999999999997,-2.2615000000000007,26.498416666666653,-28.75991666666665,125,1,"{""BOMB_DROPPED"": 13, ""BOMB_EXPLODED"": 13, ""BOMB_NEXT_TO_CRATE"": 11, ""COIN_COLLECTED"": 1, ""COIN_FOUND"": 3, ""CRATE_DESTROYED"": 28, ""ESCAPED_DANGER"": 16, ""GOT_KILLED"": 1, ""INVALID_ACTION"": 4, ""MOVED_AWAY_FROM_COIN"": 3, ""MOVED_DOWN"": 13, ""MOVED_INTO_DANGER"": 4, ""MOVED_LEFT"": 12, ""MOVED_RIGHT"": 16, ""MOVED_TOWARD_COIN"": 9, ""MOVED_TOWARD_SAFETY"": 26, ""MOVED_UP"": 25, ""OPPONENT_ELIMINATED"": 1, ""SAFE_BOMB_THREATENS_OPPONENT"": 2, ""STAYED_IN_DANGER"": 5, ""USELESS_BOMB"": 1, ""WAITED"": 42}","{""BOMB_DROPPED"": 0.0, ""BOMB_EXPLODED"": 0.0, ""BOMB_NEXT_TO_CRATE"": 0.5499999999999999, ""COIN_COLLECTED"": 1.0, ""COIN_FOUND"": 0.15000000000000002, ""CRATE_DESTROYED"": 2.800000000000001, ""ESCAPED_DANGER"": 4.799999999999999, ""GOT_KILLED"": -5.0, ""INVALID_ACTION"": -0.4, ""MOVED_AWAY_FROM_COIN"": -0.21000000000000002, ""MOVED_DOWN"": 0.0, ""MOVED_INTO_DANGER"": -1.4, ""MOVED_LEFT"": 0.0, ""MOVED_RIGHT"": 0.0, ""MOVED_TOWARD_COIN"": 0.54, ""MOVED_TOWARD_SAFETY"": 7.799999999999997, ""MOVED_UP"": 0.0, ""OPPONENT_ELIMINATED"": 0.0, ""SAFE_BOMB_THREATENS_OPPONENT"": 0.2, ""STAYED_IN_DANGER"": -1.25, ""USELESS_BOMB"": -0.1, ""WAITED"": -0.8400000000000004}"
8,1,0,1,400,0.19920666666666667,18.242999999999988,1.0,23.840000000000018,-6.5970000000000075,55.13858333333333,-61.735583333333295,401,1,"{""BOMB_DROPPED"": 32, ""BOMB_EXPLODED"": 32, ""BOMB_NEXT_TO_CRATE"": 12, ""BOMB_WITH_NO_ESCAPE"": 1, ""COIN_COLLECTED"": 1, ""COIN_FOUND"": 1, ""CRATE_DESTROYED"": 27, ""ESCAPED_DANGER"": 34, ""MOVED_AWAY_FROM_COIN"": 7, ""MOVED_DOWN"": 41, ""MOVED_INTO_DANGER"": 3, ""MOVED_LEFT"": 83, ""MOVED_RIGHT"": 92, ""MOVED_TOWARD_COIN"": 20, ""MOVED_TOWARD_SAFETY"": 52, ""MOVED_UP"": 41, ""OPPONENT_ELIMINATED"": 1, ""SAFE_BOMB_THREATENS_OPPONENT"": 7, ""STAYED_IN_DANGER"": 8, ""SURVIVED_ROUND"": 1, ""USELESS_BOMB"": 14, ""WAITED"": 111}","{""BOMB_DROPPED"": 0.0, ""BOMB_EXPLODED"": 0.0, ""BOMB_NEXT_TO_CRATE"": 0.6, ""BOMB_WITH_NO_ESCAPE"": -0.55, ""COIN_COLLECTED"": 1.0, ""COIN_FOUND"": 0.05, ""CRATE_DESTROYED"": 2.700000000000001, ""ESCAPED_DANGER"": 10.200000000000003, ""MOVED_AWAY_FROM_COIN"": -0.49000000000000005, ""MOVED_DOWN"": 0.0, ""MOVED_INTO_DANGER"": -1.0499999999999998, ""MOVED_LEFT"": 0.0, ""MOVED_RIGHT"": 0.0, ""MOVED_TOWARD_COIN"": 1.2000000000000006, ""MOVED_TOWARD_SAFETY"": 15.600000000000016, ""MOVED_UP"": 0.0, ""OPPONENT_ELIMINATED"": 0.0, ""SAFE_BOMB_THREATENS_OPPONENT"": 0.7, ""STAYED_IN_DANGER"": -2.0, ""SURVIVED_ROUND"": 0.5, ""USELESS_BOMB"": -1.4000000000000001, ""WAITED"": -2.2200000000000015}"
9,0,0,0,400,0.19909333333333334,17.678750000000004,0,23.68000000000002,-6.0012500000000095,58.43041666666666,-64.43166666666666,401,1,"{""BOMB_DROPPED"": 34, ""BOMB_EXPLODED"": 33, ""BOMB_NEXT_TO_CRATE"": 7, ""CRATE_DESTROYED"": 11, ""ESCAPED_DANGER"": 37, ""MOVED_DOWN"": 44, ""MOVED_INTO_DANGER"": 3, ""MOVED_LEFT"": 53, ""MOVED_RIGHT"": 51, ""MOVED_TOWARD_COIN"": 5, ""MOVED_TOWARD_SAFETY"": 55, ""MOVED_UP"": 57, ""OPPONENT_ELIMINATED"": 1, ""SAFE_BOMB_THREATENS_OPPONENT"": 9, ""STAYED_IN_DANGER"": 4, ""SURVIVED_ROUND"": 1, ""USELESS_BOMB"": 18, ""WAITED"": 161}","{""BOMB_DROPPED"": 0.0, ""BOMB_EXPLODED"": 0.0, ""BOMB_NEXT_TO_CRATE"": 0.35, ""CRATE_DESTROYED"": 1.0999999999999999, ""ESCAPED_DANGER"": 11.100000000000005, ""MOVED_DOWN"": 0.0, ""MOVED_INTO_DANGER"": -1.0499999999999998, ""MOVED_LEFT"": 0.0, ""MOVED_RIGHT"": 0.0, ""MOVED_TOWARD_COIN"": 0.3, ""MOVED_TOWARD_SAFETY"": 16.500000000000018, ""MOVED_UP"": 0.0, ""OPPONENT_ELIMINATED"": 0.0, ""SAFE_BOMB_THREATENS_OPPONENT"": 0.8999999999999999, ""STAYED_IN_DANGER"": -1.0, ""SURVIVED_ROUND"": 0.5, ""USELESS_BOMB"": -1.8000000000000005, ""WAITED"": -3.2200000000000024}"
10,2,0,2,400,0.19898000000000002,21.508000000000006,2.0,24.82000000000003,-5.3120000000000065,71.10291666666666,-76.41491666666668,401,1,"{""BOMB_DROPPED"": 37, ""BOMB_EXPLODED"": 37, ""BOMB_NEXT_TO_CRATE"": 11, ""COIN_COLLECTED"": 2, ""COIN_FOUND"": 2, ""CRATE_DESTROYED"": 23, ""ESCAPED_DANGER"": 46, ""MOVED_DOWN"": 41, ""MOVED_INTO_DANGER"": 9, ""MOVED_LEFT"": 75, ""MOVED_RIGHT"": 75, ""MOVED_TOWARD_COIN"": 5, ""MOVED_TOWARD_SAFETY"": 56, ""MOVED_UP"": 48, ""OPPONENT_ELIMINATED"": 2, ""SAFE_BOMB_THREATENS_OPPONENT"": 6, ""STAYED_IN_DANGER"": 10, ""SURVIVED_ROUND"": 1, ""USELESS_BOMB"": 20, ""WAITED"": 124}","{""BOMB_DROPPED"": 0.0, ""BOMB_EXPLODED"": 0.0, ""BOMB_NEXT_TO_CRATE"": 0.5499999999999999, ""COIN_COLLECTED"": 2.0, ""COIN_FOUND"": 0.1, ""CRATE_DESTROYED"": 2.3000000000000007, ""ESCAPED_DANGER"": 13.800000000000011, ""MOVED_DOWN"": 0.0, ""MOVED_INTO_DANGER"": -3.1500000000000004, ""MOVED_LEFT"": 0.0, ""MOVED_RIGHT"": 0.0, ""MOVED_TOWARD_COIN"": 0.3, ""MOVED_TOWARD_SAFETY"": 16.80000000000002, ""MOVED_UP"": 0.0, ""OPPONENT_ELIMINATED"": 0.0, ""SAFE_BOMB_THREATENS_OPPONENT"": 0.6, ""STAYED_IN_DANGER"": -2.5, ""SURVIVED_ROUND"": 0.5, ""USELESS_BOMB"": -2.0000000000000004, ""WAITED"": -2.4800000000000018}"
11,0,1,5,400,0.19886666666666666,29.501749999999976,5.0,30.98000000000004,-6.478250000000008,72.65783333333331,-79.13608333333323,401,1,"{""BOMB_DROPPED"": 42, ""BOMB_EXPLODED"": 42, ""BOMB_NEXT_TO_CRATE"": 9, ""COIN_FOUND"": 1, ""CRATE_DESTROYED"": 16, ""ESCAPED_DANGER"": 48, ""KILLED_OPPONENT"": 1, ""MOVED_AWAY_FROM_COIN"": 11, ""MOVED_DOWN"": 41, ""MOVED_INTO_DANGER"": 6, ""MOVED_LEFT"": 60, ""MOVED_RIGHT"": 60, ""MOVED_TOWARD_COIN"": 28, ""MOVED_TOWARD_SAFETY"": 70, ""MOVED_UP"": 53, ""OPPONENT_ELIMINATED"": 1, ""SAFE_BOMB_THREATENS_OPPONENT"": 11, ""STAYED_IN_DANGER"": 7, ""SURVIVED_ROUND"": 1, ""USELESS_BOMB"": 23, ""WAITED"": 144}","{""BOMB_DROPPED"": 0.0, ""BOMB_EXPLODED"": 0.0, ""BOMB_NEXT_TO_CRATE"": 0.44999999999999996, ""COIN_FOUND"": 0.05, ""CRATE_DESTROYED"": 1.6000000000000003, ""ESCAPED_DANGER"": 14.400000000000013, ""KILLED_OPPONENT"": 5.0, ""MOVED_AWAY_FROM_COIN"": -0.7700000000000002, ""MOVED_DOWN"": 0.0, ""MOVED_INTO_DANGER"": -2.1, ""MOVED_LEFT"": 0.0, ""MOVED_RIGHT"": 0.0, ""MOVED_TOWARD_COIN"": 1.680000000000001, ""MOVED_TOWARD_SAFETY"": 21.00000000000003, ""MOVED_UP"": 0.0, ""OPPONENT_ELIMINATED"": 0.0, ""SAFE_BOMB_THREATENS_OPPONENT"": 1.0999999999999999, ""STAYED_IN_DANGER"": -1.75, ""SURVIVED_ROUND"": 0.5, ""USELESS_BOMB"": -2.3000000000000007, ""WAITED"": -2.880000000000002}"
12,1,1,6,400,0.19875333333333334,21.083999999999957,6.0,21.720000000000013,-6.636000000000012,54.068250000000035,-60.70425,401,1,"{""BOMB_DROPPED"": 28, ""BOMB_EXPLODED"": 28, ""BOMB_NEXT_TO_CRATE"": 16, ""COIN_COLLECTED"": 1, ""COIN_FOUND"": 1, ""CRATE_DESTROYED"": 33, ""ESCAPED_DANGER"": 35, ""INVALID_ACTION"": 2, ""KILLED_OPPONENT"": 1, ""MOVED_AWAY_FROM_COIN"": 5, ""MOVED_DOWN"": 41, ""MOVED_INTO_DANGER"": 7, ""MOVED_LEFT"": 80, ""MOVED_RIGHT"": 78, ""MOVED_TOWARD_COIN"": 9, ""MOVED_TOWARD_SAFETY"": 45, ""MOVED_UP"": 55, ""OPPONENT_ELIMINATED"": 2, ""SAFE_BOMB_THREATENS_OPPONENT"": 2, ""STAYED_IN_DANGER"": 5, ""SURVIVED_ROUND"": 1, ""USELESS_BOMB"": 11, ""WAITED"": 116}","{""BOMB_DROPPED"": 0.0, ""BOMB_EXPLODED"": 0.0, ""BOMB_NEXT_TO_CRATE"": 0.8000000000000002, ""COIN_COLLECTED"": 1.0, ""COIN_FOUND"": 0.05, ""CRATE_DESTROYED"": 3.3000000000000016, ""ESCAPED_DANGER"": 10.500000000000004, ""INVALID_ACTION"": -0.2, ""KILLED_OPPONENT"": 5.0, ""MOVED_AWAY_FROM_COIN"": -0.35000000000000003, ""MOVED_DOWN"": 0.0, ""MOVED_INTO_DANGER"": -2.45, ""MOVED_LEFT"": 0.0, ""MOVED_RIGHT"": 0.0, ""MOVED_TOWARD_COIN"": 0.54, ""MOVED_TOWARD_SAFETY"": 13.50000000000001, ""MOVED_UP"": 0.0, ""OPPONENT_ELIMINATED"": 0.0, ""SAFE_BOMB_THREATENS_OPPONENT"": 0.2, ""STAYED_IN_DANGER"": -1.25, ""SURVIVED_ROUND"": 0.5, ""USELESS_BOMB"": -1.0999999999999999, ""WAITED"": -2.3200000000000016}"
13,0,0,0,400,0.19864,10.69800000000001,0,19.350000000000016,-8.652000000000019,65.11883333333333,-73.77083333333331,401,1,"{""BOMB_DROPPED"": 33, ""BOMB_EXPLODED"": 33, ""BOMB_NEXT_TO_CRATE"": 6, ""COIN_FOUND"": 1, ""CRATE_DESTROYED"": 13, ""ESCAPED_DANGER"": 43, ""INVALID_ACTION"": 3, ""MOVED_AWAY_FROM_COIN"": 2, ""MOVED_DOWN"": 43, ""MOVED_INTO_DANGER"": 10, ""MOVED_LEFT"": 59, ""MOVED_RIGHT"": 58, ""MOVED_TOWARD_COIN"": 9, ""MOVED_TOWARD_SAFETY"": 45, ""MOVED_UP"": 39, ""OPPONENT_ELIMINATED"": 2, ""SAFE_BOMB_THREATENS_OPPONENT"": 14, ""STAYED_IN_DANGER"": 10, ""SURVIVED_ROUND"": 1, ""USELESS_BOMB"": 14, ""WAITED"": 165}","{""BOMB_DROPPED"": 0.0, ""BOMB_EXPLODED"": 0.0, ""BOMB_NEXT_TO_CRATE"": 0.3, ""COIN_FOUND"": 0.05, ""CRATE_DESTROYED"": 1.3, ""ESCAPED_DANGER"": 12.90000000000001, ""INVALID_ACTION"": -0.30000000000000004, ""MOVED_AWAY_FROM_COIN"": -0.14, ""MOVED_DOWN"": 0.0, ""MOVED_INTO_DANGER"": -3.5000000000000004, ""MOVED_LEFT"": 0.0, ""MOVED_RIGHT"": 0.0, ""MOVED_TOWARD_COIN"": 0.54, ""MOVED_TOWARD_SAFETY"": 13.50000000000001, ""MOVED_UP"": 0.0, ""OPPONENT_ELIMINATED"": 0.0, ""SAFE_BOMB_THREATENS_OPPONENT"": 1.4000000000000001, ""STAYED_IN_DANGER"": -2.5, ""SURVIVED_ROUND"": 0.5, ""USELESS_BOMB"": -1.4000000000000001, ""WAITED"": -3.3000000000000025}"
14,1,1,6,400,0.19852666666666666,23.83849999999998,6.0,25.07000000000003,-7.231500000000015,71.71416666666666,-78.94566666666665,401,1,"{""BOMB_DROPPED"": 41, ""BOMB_EXPLODED"": 41, ""BOMB_NEXT_TO_CRATE"": 12, ""COIN_COLLECTED"": 1, ""COIN_FOUND"": 3, ""CRATE_DESTROYED"": 25, ""ESCAPED_DANGER"": 48, ""KILLED_OPPONENT"": 1, ""MOVED_AWAY_FROM_COIN"": 5, ""MOVED_DOWN"": 44, ""MOVED_INTO_DANGER"": 9, ""MOVED_LEFT"": 38, ""MOVED_RIGHT"": 52, ""MOVED_TOWARD_COIN"": 6, ""MOVED_TOWARD_SAFETY"": 58, ""MOVED_UP"": 58, ""OPPONENT_ELIMINATED"": 2, ""SAFE_BOMB_THREATENS_OPPONENT"": 7, ""STAYED_IN_DANGER"": 10, ""SURVIVED_ROUND"": 1, ""USELESS_BOMB"": 22, ""WAITED"": 167}","{""BOMB_DROPPED"": 0.0, ""BOMB_EXPLODED"": 0.0, ""BOMB_NEXT_TO_CRATE"": 0.6, ""COIN_COLLECTED"": 1.0, ""COIN_FOUND"": 0.15000000000000002, ""CRATE_DESTROYED"": 2.500000000000001, ""ESCAPED_DANGER"": 14.400000000000013, ""KILLED_OPPONENT"": 5.0, ""MOVED_AWAY_FROM_COIN"": -0.35000000000000003, ""MOVED_DOWN"": 0.0, ""MOVED_INTO_DANGER"": -3.1500000000000004, ""MOVED_LEFT"": 0.0, ""MOVED_RIGHT"": 0.0, ""MOVED_TOWARD_COIN"": 0.36, ""MOVED_TOWARD_SAFETY"": 17.40000000000002, ""MOVED_UP"": 0.0, ""OPPONENT_ELIMINATED"": 0.0, ""SAFE_BOMB_THREATENS_OPPONENT"": 0.7, ""STAYED_IN_DANGER"": -2.5, ""SURVIVED_ROUND"": 0.5, ""USELESS_BOMB"": -2.2000000000000006, ""WAITED"": -3.3400000000000025}"
