episode,coins,kills,game_score,steps,epsilon,training_reward,objective_reward,other_event_reward,potential_net,potential_positive,potential_negative,potential_calls,terminal_potential_calls,event_counts,event_rewards
1,2,0,2,400,0.2,1.8780000000000063,2.0,3.7600000000000025,-3.8819999999999943,37.95383333333334,-41.83583333333343,400,0,"{""BOMB_DROPPED"": 20, ""BOMB_EXPLODED"": 20, ""BOMB_NEXT_TO_CRATE"": 14, ""COIN_COLLECTED"": 2, ""COIN_FOUND"": 2, ""CRATE_DESTROYED"": 32, ""ESCAPED_DANGER"": 21, ""MOVED_AWAY_FROM_COIN"": 3, ""MOVED_DOWN"": 61, ""MOVED_INTO_DANGER"": 1, ""MOVED_LEFT"": 91, ""MOVED_RIGHT"": 90, ""MOVED_TOWARD_COIN"": 16, ""MOVED_TOWARD_SAFETY"": 34, ""MOVED_UP"": 61, ""OPPONENT_ELIMINATED"": 1, ""SAFE_BOMB_THREATENS_OPPONENT"": 1, ""STAYED_IN_DANGER"": 3, ""SURVIVED_ROUND"": 1, ""USELESS_BOMB"": 6, ""WAITED"": 77}","{""BOMB_DROPPED"": 0.0, ""BOMB_EXPLODED"": 0.0, ""BOMB_NEXT_TO_CRATE"": 0.7000000000000001, ""COIN_COLLECTED"": 2.0, ""COIN_FOUND"": 0.1, ""CRATE_DESTROYED"": 3.2000000000000015, ""ESCAPED_DANGER"": 0.6300000000000003, ""MOVED_AWAY_FROM_COIN"": -0.21000000000000002, ""MOVED_DOWN"": 0.0, ""MOVED_INTO_DANGER"": -0.35, ""MOVED_LEFT"": 0.0, ""MOVED_RIGHT"": 0.0, ""MOVED_TOWARD_COIN"": 0.9600000000000004, ""MOVED_TOWARD_SAFETY"": 1.0200000000000007, ""MOVED_UP"": 0.0, ""OPPONENT_ELIMINATED"": 0.0, ""SAFE_BOMB_THREATENS_OPPONENT"": 0.1, ""STAYED_IN_DANGER"": -0.75, ""SURVIVED_ROUND"": 0.5, ""USELESS_BOMB"": -0.6, ""WAITED"": -1.540000000000001}"
2,2,0,2,400,0.19988666666666668,-7.5990833333333345,2.0,-0.8099999999999996,-8.789083333333346,53.522500000000115,-62.31158333333332,400,0,"{""BOMB_DROPPED"": 26, ""BOMB_EXPLODED"": 25, ""BOMB_NEXT_TO_CRATE"": 10, ""COIN_COLLECTED"": 2, ""COIN_FOUND"": 4, ""CRATE_DESTROYED"": 26, ""ESCAPED_DANGER"": 35, ""INVALID_ACTION"": 2, ""MOVED_AWAY_FROM_COIN"": 4, ""MOVED_DOWN"": 63, ""MOVED_INTO_DANGER"": 11, ""MOVED_LEFT"": 62, ""MOVED_RIGHT"": 48, ""MOVED_TOWARD_COIN"": 19, ""MOVED_TOWARD_SAFETY"": 35, ""MOVED_UP"": 63, ""OPPONENT_ELIMINATED"": 2, ""SAFE_BOMB_THREATENS_OPPONENT"": 12, ""STAYED_IN_DANGER"": 6, ""SURVIVED_ROUND"": 1, ""USELESS_BOMB"": 5, ""WAITED"": 136}","{""BOMB_DROPPED"": 0.0, ""BOMB_EXPLODED"": 0.0, ""BOMB_NEXT_TO_CRATE"": 0.49999999999999994, ""COIN_COLLECTED"": 2.0, ""COIN_FOUND"": 0.2, ""CRATE_DESTROYED"": 2.600000000000001, ""ESCAPED_DANGER"": 1.0500000000000007, ""INVALID_ACTION"": -0.2, ""MOVED_AWAY_FROM_COIN"": -0.28, ""MOVED_DOWN"": 0.0, ""MOVED_INTO_DANGER"": -3.8500000000000005, ""MOVED_LEFT"": 0.0, ""MOVED_RIGHT"": 0.0, ""MOVED_TOWARD_COIN"": 1.1400000000000006, ""MOVED_TOWARD_SAFETY"": 1.0500000000000007, ""MOVED_UP"": 0.0, ""OPPONENT_ELIMINATED"": 0.0, ""SAFE_BOMB_THREATENS_OPPONENT"": 1.2, ""STAYED_IN_DANGER"": -1.5, ""SURVIVED_ROUND"": 0.5, ""USELESS_BOMB"": -0.5, ""WAITED"": -2.720000000000002}"
3,2,0,2,400,0.19977333333333336,-2.8472500000000056,2.0,0.6500000000000004,-5.4972500000000055,34.95566666666665,-40.45291666666669,400,0,"{""BOMB_DROPPED"": 20, ""BOMB_EXPLODED"": 20, ""BOMB_NEXT_TO_CRATE"": 7, ""COIN_COLLECTED"": 2, ""COIN_FOUND"": 2, ""CRATE_DESTROYED"": 17, ""ESCAPED_DANGER"": 20, ""MOVED_AWAY_FROM_COIN"": 3, ""MOVED_DOWN"": 35, ""MOVED_LEFT"": 88, ""MOVED_RIGHT"": 90, ""MOVED_TOWARD_COIN"": 28, ""MOVED_TOWARD_SAFETY"": 29, ""MOVED_UP"": 35, ""OPPONENT_ELIMINATED"": 1, ""STAYED_IN_DANGER"": 4, ""SURVIVED_ROUND"": 1, ""USELESS_BOMB"": 13, ""WAITED"": 132}","{""BOMB_DROPPED"": 0.0, ""BOMB_EXPLODED"": 0.0, ""BOMB_NEXT_TO_CRATE"": 0.35, ""COIN_COLLECTED"": 2.0, ""COIN_FOUND"": 0.1, ""CRATE_DESTROYED"": 1.7000000000000004, ""ESCAPED_DANGER"": 0.6000000000000003, ""MOVED_AWAY_FROM_COIN"": -0.21000000000000002, ""MOVED_DOWN"": 0.0, ""MOVED_LEFT"": 0.0, ""MOVED_RIGHT"": 0.0, ""MOVED_TOWARD_COIN"": 1.680000000000001, ""MOVED_TOWARD_SAFETY"": 0.8700000000000006, ""MOVED_UP"": 0.0, ""OPPONENT_ELIMINATED"": 0.0, ""STAYED_IN_DANGER"": -1.0, ""SURVIVED_ROUND"": 0.5, ""USELESS_BOMB"": -1.3, ""WAITED"": -2.640000000000002}"
4,3,0,3,400,0.19966,0.012999999999995793,3.0,1.2100000000000017,-4.196999999999994,42.144916666666646,-46.341916666666705,400,0,"{""BOMB_DROPPED"": 20, ""BOMB_EXPLODED"": 20, ""BOMB_NEXT_TO_CRATE"": 8, ""COIN_COLLECTED"": 3, ""COIN_FOUND"": 1, ""CRATE_DESTROYED"": 18, ""ESCAPED_DANGER"": 24, ""MOVED_AWAY_FROM_COIN"": 10, ""MOVED_DOWN"": 74, ""MOVED_INTO_DANGER"": 4, ""MOVED_LEFT"": 69, ""MOVED_RIGHT"": 69, ""MOVED_TOWARD_COIN"": 35, ""MOVED_TOWARD_SAFETY"": 36, ""MOVED_UP"": 71, ""OPPONENT_ELIMINATED"": 1, ""SAFE_BOMB_THREATENS_OPPONENT"": 2, ""STAYED_IN_DANGER"": 2, ""SURVIVED_ROUND"": 1, ""USELESS_BOMB"": 11, ""WAITED"": 97}","{""BOMB_DROPPED"": 0.0, ""BOMB_EXPLODED"": 0.0, ""BOMB_NEXT_TO_CRATE"": 0.39999999999999997, ""COIN_COLLECTED"": 3.0, ""COIN_FOUND"": 0.05, ""CRATE_DESTROYED"": 1.8000000000000005, ""ESCAPED_DANGER"": 0.7200000000000004, ""MOVED_AWAY_FROM_COIN"": -0.7000000000000002, ""MOVED_DOWN"": 0.0, ""MOVED_INTO_DANGER"": -1.4, ""MOVED_LEFT"": 0.0, ""MOVED_RIGHT"": 0.0, ""MOVED_TOWARD_COIN"": 2.1000000000000014, ""MOVED_TOWARD_SAFETY"": 1.0800000000000007, ""MOVED_UP"": 0.0, ""OPPONENT_ELIMINATED"": 0.0, ""SAFE_BOMB_THREATENS_OPPONENT"": 0.2, ""STAYED_IN_DANGER"": -0.5, ""SURVIVED_ROUND"": 0.5, ""USELESS_BOMB"": -1.0999999999999999, ""WAITED"": -1.9400000000000013}"
5,2,0,2,400,0.19954666666666668,-5.701750000000001,2.0,0.7700000000000014,-8.471750000000005,44.06708333333334,-52.53883333333336,400,0,"{""BOMB_DROPPED"": 23, ""BOMB_EXPLODED"": 23, ""BOMB_NEXT_TO_CRATE"": 6, ""COIN_COLLECTED"": 2, ""COIN_FOUND"": 2, ""CRATE_DESTROYED"": 17, ""ESCAPED_DANGER"": 28, ""MOVED_AWAY_FROM_COIN"": 18, ""MOVED_DOWN"": 82, ""MOVED_INTO_DANGER"": 5, ""MOVED_LEFT"": 54, ""MOVED_RIGHT"": 60, ""MOVED_TOWARD_COIN"": 44, ""MOVED_TOWARD_SAFETY"": 35, ""MOVED_UP"": 81, ""OPPONENT_ELIMINATED"": 2, ""SAFE_BOMB_THREATENS_OPPONENT"": 8, ""STAYED_IN_DANGER"": 5, ""SURVIVED_ROUND"": 1, ""USELESS_BOMB"": 9, ""WAITED"": 100}","{""BOMB_DROPPED"": 0.0, ""BOMB_EXPLODED"": 0.0, ""BOMB_NEXT_TO_CRATE"": 0.3, ""COIN_COLLECTED"": 2.0, ""COIN_FOUND"": 0.1, ""CRATE_DESTROYED"": 1.7000000000000004, ""ESCAPED_DANGER"": 0.8400000000000005, ""MOVED_AWAY_FROM_COIN"": -1.2600000000000007, ""MOVED_DOWN"": 0.0, ""MOVED_INTO_DANGER"": -1.75, ""MOVED_LEFT"": 0.0, ""MOVED_RIGHT"": 0.0, ""MOVED_TOWARD_COIN"": 2.640000000000002, ""MOVED_TOWARD_SAFETY"": 1.0500000000000007, ""MOVED_UP"": 0.0, ""OPPONENT_ELIMINATED"": 0.0, ""SAFE_BOMB_THREATENS_OPPONENT"": 0.7999999999999999, ""STAYED_IN_DANGER"": -1.25, ""SURVIVED_ROUND"": 0.5, ""USELESS_BOMB"": -0.8999999999999999, ""WAITED"": -2.0000000000000013}"
6,1,2,11,400,0.19943333333333335,4.788,11.0,0.7600000000000016,-6.972000000000007,58.38750000000004,-65.35950000000001,400,0,"{""BOMB_DROPPED"": 29, ""BOMB_EXPLODED"": 29, ""BOMB_NEXT_TO_CRATE"": 9, ""COIN_COLLECTED"": 1, ""CRATE_DESTROYED"": 22, ""ESCAPED_DANGER"": 39, ""INVALID_ACTION"": 3, ""KILLED_OPPONENT"": 2, ""MOVED_AWAY_FROM_COIN"": 3, ""MOVED_DOWN"": 72, ""MOVED_INTO_DANGER"": 10, ""MOVED_LEFT"": 65, ""MOVED_RIGHT"": 53, ""MOVED_TOWARD_COIN"": 26, ""MOVED_TOWARD_SAFETY"": 47, ""MOVED_UP"": 72, ""OPPONENT_ELIMINATED"": 2, ""SAFE_BOMB_THREATENS_OPPONENT"": 16, ""STAYED_IN_DANGER"": 6, ""SURVIVED_ROUND"": 1, ""USELESS_BOMB"": 5, ""WAITED"": 106}","{""BOMB_DROPPED"": 0.0, ""BOMB_EXPLODED"": 0.0, ""BOMB_NEXT_TO_CRATE"": 0.44999999999999996, ""COIN_COLLECTED"": 1.0, ""CRATE_DESTROYED"": 2.2000000000000006, ""ESCAPED_DANGER"": 1.1700000000000008, ""INVALID_ACTION"": -0.30000000000000004, ""KILLED_OPPONENT"": 10.0, ""MOVED_AWAY_FROM_COIN"": -0.21000000000000002, ""MOVED_DOWN"": 0.0, ""MOVED_INTO_DANGER"": -3.5000000000000004, ""MOVED_LEFT"": 0.0, ""MOVED_RIGHT"": 0.0, ""MOVED_TOWARD_COIN"": 1.560000000000001, ""MOVED_TOWARD_SAFETY"": 1.410000000000001, ""MOVED_UP"": 0.0, ""OPPONENT_ELIMINATED"": 0.0, ""SAFE_BOMB_THREATENS_OPPONENT"": 1.6000000000000003, ""STAYED_IN_DANGER"": -1.5, ""SURVIVED_ROUND"": 0.5, ""USELESS_BOMB"": -0.5, ""WAITED"": -2.1200000000000014}"
7,2,0,2,400,0.19932,-7.537833333333319,2.0,-1.3400000000000003,-8.197833333333348,48.48750000000011,-56.68533333333326,400,0,"{""BOMB_DROPPED"": 24, ""BOMB_EXPLODED"": 23, ""BOMB_NEXT_TO_CRATE"": 8, ""COIN_COLLECTED"": 2, ""COIN_FOUND"": 2, ""CRATE_DESTROYED"": 20, ""ESCAPED_DANGER"": 30, ""INVALID_ACTION"": 1, ""MOVED_AWAY_FROM_COIN"": 3, ""MOVED_DOWN"": 64, ""MOVED_INTO_DANGER"": 7, ""MOVED_LEFT"": 43, ""MOVED_RIGHT"": 43, ""MOVED_TOWARD_COIN"": 20, ""MOVED_TOWARD_SAFETY"": 33, ""MOVED_UP"": 64, ""OPPONENT_ELIMINATED"": 2, ""SAFE_BOMB_THREATENS_OPPONENT"": 5, ""STAYED_IN_DANGER"": 3, ""SURVIVED_ROUND"": 1, ""USELESS_BOMB"": 12, ""WAITED"": 161}","{""BOMB_DROPPED"": 0.0, ""BOMB_EXPLODED"": 0.0, ""BOMB_NEXT_TO_CRATE"": 0.39999999999999997, ""COIN_COLLECTED"": 2.0, ""COIN_FOUND"": 0.1, ""CRATE_DESTROYED"": 2.0000000000000004, ""ESCAPED_DANGER"": 0.9000000000000006, ""INVALID_ACTION"": -0.1, ""MOVED_AWAY_FROM_COIN"": -0.21000000000000002, ""MOVED_DOWN"": 0.0, ""MOVED_INTO_DANGER"": -2.45, ""MOVED_LEFT"": 0.0, ""MOVED_RIGHT"": 0.0, ""MOVED_TOWARD_COIN"": 1.2000000000000006, ""MOVED_TOWARD_SAFETY"": 0.9900000000000007, ""MOVED_UP"": 0.0, ""OPPONENT_ELIMINATED"": 0.0, ""SAFE_BOMB_THREATENS_OPPONENT"": 0.5, ""STAYED_IN_DANGER"": -0.75, ""SURVIVED_ROUND"": 0.5, ""USELESS_BOMB"": -1.2, ""WAITED"": -3.2200000000000024}"
8,0,0,0,400,0.19920666666666667,-7.384833333333338,0,1.6300000000000014,-9.014833333333348,60.24974999999997,-69.26458333333336,400,0,"{""BOMB_DROPPED"": 35, ""BOMB_EXPLODED"": 34, ""BOMB_NEXT_TO_CRATE"": 11, ""COIN_FOUND"": 1, ""CRATE_DESTROYED"": 24, ""ESCAPED_DANGER"": 40, ""MOVED_DOWN"": 55, ""MOVED_INTO_DANGER"": 8, ""MOVED_LEFT"": 61, ""MOVED_RIGHT"": 53, ""MOVED_TOWARD_COIN"": 12, ""MOVED_TOWARD_SAFETY"": 50, ""MOVED_UP"": 69, ""OPPONENT_ELIMINATED"": 2, ""SAFE_BOMB_THREATENS_OPPONENT"": 22, ""STAYED_IN_DANGER"": 7, ""SURVIVED_ROUND"": 1, ""USELESS_BOMB"": 4, ""WAITED"": 127}","{""BOMB_DROPPED"": 0.0, ""BOMB_EXPLODED"": 0.0, ""BOMB_NEXT_TO_CRATE"": 0.5499999999999999, ""COIN_FOUND"": 0.05, ""CRATE_DESTROYED"": 2.400000000000001, ""ESCAPED_DANGER"": 1.2000000000000008, ""MOVED_DOWN"": 0.0, ""MOVED_INTO_DANGER"": -2.8000000000000003, ""MOVED_LEFT"": 0.0, ""MOVED_RIGHT"": 0.0, ""MOVED_TOWARD_COIN"": 0.7200000000000002, ""MOVED_TOWARD_SAFETY"": 1.500000000000001, ""MOVED_UP"": 0.0, ""OPPONENT_ELIMINATED"": 0.0, ""SAFE_BOMB_THREATENS_OPPONENT"": 2.2000000000000006, ""STAYED_IN_DANGER"": -1.75, ""SURVIVED_ROUND"": 0.5, ""USELESS_BOMB"": -0.4, ""WAITED"": -2.540000000000002}"
9,2,1,7,400,0.19909333333333334,1.2674999999999963,7.0,2.740000000000002,-8.472500000000004,52.21075,-60.68325000000005,400,0,"{""BOMB_DROPPED"": 28, ""BOMB_EXPLODED"": 28, ""BOMB_NEXT_TO_CRATE"": 8, ""COIN_COLLECTED"": 2, ""COIN_FOUND"": 3, ""CRATE_DESTROYED"": 21, ""ESCAPED_DANGER"": 33, ""INVALID_ACTION"": 1, ""KILLED_OPPONENT"": 1, ""MOVED_AWAY_FROM_COIN"": 9, ""MOVED_DOWN"": 51, ""MOVED_INTO_DANGER"": 5, ""MOVED_LEFT"": 84, ""MOVED_RIGHT"": 84, ""MOVED_TOWARD_COIN"": 27, ""MOVED_TOWARD_SAFETY"": 46, ""MOVED_UP"": 51, ""OPPONENT_ELIMINATED"": 2, ""SAFE_BOMB_THREATENS_OPPONENT"": 16, ""STAYED_IN_DANGER"": 4, ""SURVIVED_ROUND"": 1, ""USELESS_BOMB"": 5, ""WAITED"": 101}","{""BOMB_DROPPED"": 0.0, ""BOMB_EXPLODED"": 0.0, ""BOMB_NEXT_TO_CRATE"": 0.39999999999999997, ""COIN_COLLECTED"": 2.0, ""COIN_FOUND"": 0.15000000000000002, ""CRATE_DESTROYED"": 2.1000000000000005, ""ESCAPED_DANGER"": 0.9900000000000007, ""INVALID_ACTION"": -0.1, ""KILLED_OPPONENT"": 5.0, ""MOVED_AWAY_FROM_COIN"": -0.6300000000000001, ""MOVED_DOWN"": 0.0, ""MOVED_INTO_DANGER"": -1.75, ""MOVED_LEFT"": 0.0, ""MOVED_RIGHT"": 0.0, ""MOVED_TOWARD_COIN"": 1.620000000000001, ""MOVED_TOWARD_SAFETY"": 1.380000000000001, ""MOVED_UP"": 0.0, ""OPPONENT_ELIMINATED"": 0.0, ""SAFE_BOMB_THREATENS_OPPONENT"": 1.6000000000000003, ""STAYED_IN_DANGER"": -1.0, ""SURVIVED_ROUND"": 0.5, ""USELESS_BOMB"": -0.5, ""WAITED"": -2.0200000000000014}"
10,1,0,1,400,0.19898000000000002,-9.257999999999981,1.0,-2.520000000000002,-7.738000000000022,46.463250000000144,-54.20124999999989,400,0,"{""BOMB_DROPPED"": 21, ""BOMB_EXPLODED"": 21, ""BOMB_NEXT_TO_CRATE"": 7, ""COIN_COLLECTED"": 1, ""COIN_FOUND"": 1, ""CRATE_DESTROYED"": 16, ""ESCAPED_DANGER"": 30, ""INVALID_ACTION"": 3, ""MOVED_AWAY_FROM_COIN"": 3, ""MOVED_DOWN"": 41, ""MOVED_INTO_DANGER"": 9, ""MOVED_LEFT"": 51, ""MOVED_RIGHT"": 51, ""MOVED_TOWARD_COIN"": 8, ""MOVED_TOWARD_SAFETY"": 29, ""MOVED_UP"": 55, ""SAFE_BOMB_THREATENS_OPPONENT"": 13, ""STAYED_IN_DANGER"": 5, ""SURVIVED_ROUND"": 1, ""USELESS_BOMB"": 1, ""WAITED"": 178}","{""BOMB_DROPPED"": 0.0, ""BOMB_EXPLODED"": 0.0, ""BOMB_NEXT_TO_CRATE"": 0.35, ""COIN_COLLECTED"": 1.0, ""COIN_FOUND"": 0.05, ""CRATE_DESTROYED"": 1.6000000000000003, ""ESCAPED_DANGER"": 0.9000000000000006, ""INVALID_ACTION"": -0.30000000000000004, ""MOVED_AWAY_FROM_COIN"": -0.21000000000000002, ""MOVED_DOWN"": 0.0, ""MOVED_INTO_DANGER"": -3.1500000000000004, ""MOVED_LEFT"": 0.0, ""MOVED_RIGHT"": 0.0, ""MOVED_TOWARD_COIN"": 0.48, ""MOVED_TOWARD_SAFETY"": 0.8700000000000006, ""MOVED_UP"": 0.0, ""SAFE_BOMB_THREATENS_OPPONENT"": 1.3, ""STAYED_IN_DANGER"": -1.25, ""SURVIVED_ROUND"": 0.5, ""USELESS_BOMB"": -0.1, ""WAITED"": -3.5600000000000027}"
11,1,0,1,400,0.19886666666666666,-4.819250000000005,1.0,0.9900000000000002,-6.809250000000003,52.94616666666664,-59.7554166666667,400,0,"{""BOMB_DROPPED"": 34, ""BOMB_EXPLODED"": 33, ""BOMB_NEXT_TO_CRATE"": 5, ""COIN_COLLECTED"": 1, ""COIN_FOUND"": 1, ""CRATE_DESTROYED"": 13, ""ESCAPED_DANGER"": 34, ""INVALID_ACTION"": 2, ""MOVED_AWAY_FROM_COIN"": 7, ""MOVED_DOWN"": 61, ""MOVED_LEFT"": 61, ""MOVED_RIGHT"": 60, ""MOVED_TOWARD_COIN"": 14, ""MOVED_TOWARD_SAFETY"": 45, ""MOVED_UP"": 53, ""OPPONENT_ELIMINATED"": 2, ""SAFE_BOMB_THREATENS_OPPONENT"": 16, ""STAYED_IN_DANGER"": 5, ""SURVIVED_ROUND"": 1, ""USELESS_BOMB"": 14, ""WAITED"": 129}","{""BOMB_DROPPED"": 0.0, ""BOMB_EXPLODED"": 0.0, ""BOMB_NEXT_TO_CRATE"": 0.25, ""COIN_COLLECTED"": 1.0, ""COIN_FOUND"": 0.05, ""CRATE_DESTROYED"": 1.3, ""ESCAPED_DANGER"": 1.0200000000000007, ""INVALID_ACTION"": -0.2, ""MOVED_AWAY_FROM_COIN"": -0.49000000000000005, ""MOVED_DOWN"": 0.0, ""MOVED_LEFT"": 0.0, ""MOVED_RIGHT"": 0.0, ""MOVED_TOWARD_COIN"": 0.8400000000000003, ""MOVED_TOWARD_SAFETY"": 1.350000000000001, ""MOVED_UP"": 0.0, ""OPPONENT_ELIMINATED"": 0.0, ""SAFE_BOMB_THREATENS_OPPONENT"": 1.6000000000000003, ""STAYED_IN_DANGER"": -1.25, ""SURVIVED_ROUND"": 0.5, ""USELESS_BOMB"": -1.4000000000000001, ""WAITED"": -2.580000000000002}"
12,1,0,1,196,0.19875333333333334,-8.063750000000002,1.0,-4.92,-4.1437500000000025,16.639333333333326,-20.783083333333337,195,0,"{""BOMB_DROPPED"": 10, ""BOMB_EXPLODED"": 9, ""BOMB_NEXT_TO_CRATE"": 7, ""BOMB_WITH_NO_ESCAPE"": 1, ""COIN_COLLECTED"": 1, ""COIN_FOUND"": 1, ""CRATE_DESTROYED"": 17, ""ESCAPED_DANGER"": 9, ""GOT_KILLED"": 1, ""MOVED_AWAY_FROM_COIN"": 11, ""MOVED_DOWN"": 20, ""MOVED_INTO_DANGER"": 1, ""MOVED_LEFT"": 30, ""MOVED_RIGHT"": 44, ""MOVED_TOWARD_COIN"": 27, ""MOVED_TOWARD_SAFETY"": 12, ""MOVED_UP"": 27, ""OPPONENT_ELIMINATED"": 2, ""STAYED_IN_DANGER"": 4, ""USELESS_BOMB"": 3, ""WAITED"": 65}","{""BOMB_DROPPED"": 0.0, ""BOMB_EXPLODED"": 0.0, ""BOMB_NEXT_TO_CRATE"": 0.35, ""BOMB_WITH_NO_ESCAPE"": -0.55, ""COIN_COLLECTED"": 1.0, ""COIN_FOUND"": 0.05, ""CRATE_DESTROYED"": 1.7000000000000004, ""ESCAPED_DANGER"": 0.27, ""GOT_KILLED"": -5.0, ""MOVED_AWAY_FROM_COIN"": -0.7700000000000002, ""MOVED_DOWN"": 0.0, ""MOVED_INTO_DANGER"": -0.35, ""MOVED_LEFT"": 0.0, ""MOVED_RIGHT"": 0.0, ""MOVED_TOWARD_COIN"": 1.620000000000001, ""MOVED_TOWARD_SAFETY"": 0.3600000000000001, ""MOVED_UP"": 0.0, ""OPPONENT_ELIMINATED"": 0.0, ""STAYED_IN_DANGER"": -1.0, ""USELESS_BOMB"": -0.30000000000000004, ""WAITED"": -1.3000000000000007}"
13,1,0,1,400,0.19864,-7.923499999999997,1.0,-0.9499999999999992,-7.973500000000007,57.25066666666662,-65.22416666666675,400,0,"{""BOMB_DROPPED"": 29, ""BOMB_EXPLODED"": 29, ""BOMB_NEXT_TO_CRATE"": 7, ""COIN_COLLECTED"": 1, ""CRATE_DESTROYED"": 18, ""ESCAPED_DANGER"": 39, ""MOVED_AWAY_FROM_COIN"": 8, ""MOVED_DOWN"": 46, ""MOVED_INTO_DANGER"": 10, ""MOVED_LEFT"": 68, ""MOVED_RIGHT"": 76, ""MOVED_TOWARD_COIN"": 16, ""MOVED_TOWARD_SAFETY"": 40, ""MOVED_UP"": 60, ""OPPONENT_ELIMINATED"": 2, ""SAFE_BOMB_THREATENS_OPPONENT"": 18, ""STAYED_IN_DANGER"": 7, ""SURVIVED_ROUND"": 1, ""USELESS_BOMB"": 5, ""WAITED"": 121}","{""BOMB_DROPPED"": 0.0, ""BOMB_EXPLODED"": 0.0, ""BOMB_NEXT_TO_CRATE"": 0.35, ""COIN_COLLECTED"": 1.0, ""CRATE_DESTROYED"": 1.8000000000000005, ""ESCAPED_DANGER"": 1.1700000000000008, ""MOVED_AWAY_FROM_COIN"": -0.56, ""MOVED_DOWN"": 0.0, ""MOVED_INTO_DANGER"": -3.5000000000000004, ""MOVED_LEFT"": 0.0, ""MOVED_RIGHT"": 0.0, ""MOVED_TOWARD_COIN"": 0.9600000000000004, ""MOVED_TOWARD_SAFETY"": 1.2000000000000008, ""MOVED_UP"": 0.0, ""OPPONENT_ELIMINATED"": 0.0, ""SAFE_BOMB_THREATENS_OPPONENT"": 1.8000000000000005, ""STAYED_IN_DANGER"": -1.75, ""SURVIVED_ROUND"": 0.5, ""USELESS_BOMB"": -0.5, ""WAITED"": -2.4200000000000017}"
14,4,0,4,400,0.19852666666666666,-4.984500000000002,4.0,0.39000000000000146,-9.374500000000015,61.617583333333314,-70.99208333333335,400,0,"{""BOMB_DROPPED"": 33, ""BOMB_EXPLODED"": 32, ""BOMB_NEXT_TO_CRATE"": 7, ""COIN_COLLECTED"": 4, ""COIN_FOUND"": 4, ""CRATE_DESTROYED"": 19, ""ESCAPED_DANGER"": 40, ""INVALID_ACTION"": 1, ""MOVED_AWAY_FROM_COIN"": 13, ""MOVED_DOWN"": 56, ""MOVED_INTO_DANGER"": 8, ""MOVED_LEFT"": 60, ""MOVED_RIGHT"": 50, ""MOVED_TOWARD_COIN"": 34, ""MOVED_TOWARD_SAFETY"": 47, ""MOVED_UP"": 70, ""OPPONENT_ELIMINATED"": 2, ""SAFE_BOMB_THREATENS_OPPONENT"": 17, ""STAYED_IN_DANGER"": 6, ""SURVIVED_ROUND"": 1, ""USELESS_BOMB"": 10, ""WAITED"": 130}","{""BOMB_DROPPED"": 0.0, ""BOMB_EXPLODED"": 0.0, ""BOMB_NEXT_TO_CRATE"": 0.35, ""COIN_COLLECTED"": 4.0, ""COIN_FOUND"": 0.2, ""CRATE_DESTROYED"": 1.9000000000000006, ""ESCAPED_DANGER"": 1.2000000000000008, ""INVALID_ACTION"": -0.1, ""MOVED_AWAY_FROM_COIN"": -0.9100000000000004, ""MOVED_DOWN"": 0.0, ""MOVED_INTO_DANGER"": -2.8000000000000003, ""MOVED_LEFT"": 0.0, ""MOVED_RIGHT"": 0.0, ""MOVED_TOWARD_COIN"": 2.0400000000000014, ""MOVED_TOWARD_SAFETY"": 1.410000000000001, ""MOVED_UP"": 0.0, ""OPPONENT_ELIMINATED"": 0.0, ""SAFE_BOMB_THREATENS_OPPONENT"": 1.7000000000000004, ""STAYED_IN_DANGER"": -1.5, ""SURVIVED_ROUND"": 0.5, ""USELESS_BOMB"": -0.9999999999999999, ""WAITED"": -2.600000000000002}"
15,2,0,2,73,0.19841333333333336,-5.197249999999999,2.0,-5.41,-1.7872499999999998,7.7251666666666665,-9.512416666666667,72,0,"{""BOMB_DROPPED"": 5, ""BOMB_EXPLODED"": 4, ""BOMB_NEXT_TO_CRATE"": 5, ""BOMB_WITH_NO_ESCAPE"": 1, ""COIN_COLLECTED"": 2, ""COIN_FOUND"": 1, ""CRATE_DESTROYED"": 8, ""ESCAPED_DANGER"": 4, ""GOT_KILLED"": 1, ""MOVED_DOWN"": 12, ""MOVED_INTO_DANGER"": 1, ""MOVED_LEFT"": 8, ""MOVED_RIGHT"": 13, ""MOVED_TOWARD_COIN"": 9, ""MOVED_TOWARD_SAFETY"": 5, ""MOVED_UP"": 14, ""OPPONENT_ELIMINATED"": 1, ""STAYED_IN_DANGER"": 4, ""WAITED"": 21}","{""BOMB_DROPPED"": 0.0, ""BOMB_EXPLODED"": 0.0, ""BOMB_NEXT_TO_CRATE"": 0.25, ""BOMB_WITH_NO_ESCAPE"": -0.55, ""COIN_COLLECTED"": 2.0, ""COIN_FOUND"": 0.05, ""CRATE_DESTROYED"": 0.7999999999999999, ""ESCAPED_DANGER"": 0.12, ""GOT_KILLED"": -5.0, ""MOVED_DOWN"": 0.0, ""MOVED_INTO_DANGER"": -0.35, ""MOVED_LEFT"": 0.0, ""MOVED_RIGHT"": 0.0, ""MOVED_TOWARD_COIN"": 0.54, ""MOVED_TOWARD_SAFETY"": 0.15, ""MOVED_UP"": 0.0, ""OPPONENT_ELIMINATED"": 0.0, ""STAYED_IN_DANGER"": -1.0, ""WAITED"": -0.4200000000000001}"
